referral_id,referrer_id,referee_id,referral_code,timestamp,referrer_device_id,referee_device_id,referrer_ip,referee_ip,ip_account_count,email_domain,referrer_account_age_days,referee_account_age_days,referrals_in_7d,referrals_in_1hr,min_gap_sec,referral_code_usage_7d,referrer_city,referee_city,geo_velocity_kmph,location_mismatch_flag,same_address_count,pan_hash,identity_risk_score,credit_age_months,device_similarity_score,card_activated,cash_advance_ratio,promo_active,promo_start_gap_min,referrer_dormancy_days,referral_cluster_id,referral_cluster_size,fraud_type,is_fraud
REF_003313,CUST_16619,CUST_95730,CODE_6619_489,2025-12-13 00:54:03,DEV_77C934D6,DEV_4EFCB937,172.28.199.227,10.92.32.95,1,protonmail.com,1144,258,1,0,74732,4,Hyderabad,Surat,48.86,False,2,f644ac303e88733f,0.045,64,0.291,True,0.045,False,-1,18,CLUSTER_0000,1,LEGITIMATE,0
REF_009080,CUST_19943,CUST_81853,CODE_9943_252,2025-06-26 08:14:57,DEV_FCEA5351,DEV_8C58D869,192.168.148.59,192.168.173.82,1,temp-mail.org,1036,1,2,1,69155,1,Surat,Pune,10.87,False,1,fb90b09d6f6e7ea6,0.483,70,0.09,True,0.06,False,-1,7,CLUSTER_0000,1,DISPOSABLE_EMAIL,1
REF_006130,CUST_45905,CUST_91834,CODE_5905_556,2026-03-09 17:14:28,DEV_43E9878D,DEV_1CC84AFB,172.31.171.34,192.168.190.194,1,rediffmail.com,1520,200,2,0,15098,5,Bengaluru,Jaipur,7.88,False,1,2c9b456711a8da33,0.041,84,0.305,True,0.143,False,-1,0,CLUSTER_0000,1,LEGITIMATE,0
REF_001148,CUST_28229,CUST_65387,CODE_8229_285,2025-06-01 06:34:50,DEV_2AFF76A9,DEV_78E87CA6,192.168.192.225,192.168.99.143,2,protonmail.com,806,210,3,0,48079,1,Surat,Delhi,16.27,False,1,139ab203ecf7b56b,0.064,88,0.398,True,0.122,False,-1,29,CLUSTER_0000,1,LEGITIMATE,0
REF_007106,CUST_31654,CUST_94872,CODE_1654_172,2025-09-20 07:46:48,DEV_393F6C2B,DEV_3969184F,172.17.70.209,172.17.100.121,2,icloud.com,182,284,2,0,84190,1,Jaipur,Ahmedabad,33.33,False,1,cdbf34f48392c92d,0.074,51,0.444,True,0.138,False,-1,6,CLUSTER_0000,1,LEGITIMATE,0
REF_001924,CUST_19671,CUST_97391,CODE_9671_771,2025-09-12 17:44:05,DEV_FB2FB131,DEV_22007EA6,172.31.130.194,192.168.15.3,1,icloud.com,377,100,2,0,50176,5,Mumbai,Jaipur,49.95,False,2,c39a9129d3448908,0.226,72,0.018,True,0.121,False,-1,8,CLUSTER_0000,1,LEGITIMATE,0
REF_002179,CUST_24040,CUST_70034,CODE_4040_652,2025-06-08 09:27:07,DEV_D6479F2F,DEV_D44A2414,192.168.208.16,172.23.97.48,2,rediffmail.com,1354,163,3,0,79373,1,Bengaluru,Mumbai,11.65,False,2,01c1cabc7e05651b,0.159,21,0.348,True,0.114,False,-1,19,CLUSTER_0000,1,LEGITIMATE,0
REF_009023,CUST_23342,CUST_82166,CODE_3342_803,2025-05-14 23:37:09,DEV_C43736FB,DEV_A644627F,10.20.156.182,192.168.172.125,2,protonmail.com,373,151,18,1,2806,4,Hyderabad,Delhi,48.44,False,1,5eee2003844d4a31,0.395,14,0.423,True,0.16,False,-1,26,CLUSTER_0000,1,HIGH_VELOCITY,1
REF_008894,CUST_13968,CUST_60223,CODE_3968_507,2025-06-22 14:07:39,DEV_370DCCC5,DEV_4A63EAB8,192.168.139.17,172.20.1.13,1,rediffmail.com,302,296,17,2,1237,5,Hyderabad,Surat,34.53,False,1,b64c95b04618527e,0.122,103,0.188,True,0.007,False,-1,24,CLUSTER_0000,1,HIGH_VELOCITY,1
REF_006325,CUST_19186,CUST_89292,CODE_9186_532,2026-04-10 02:45:47,DEV_2C68108A,DEV_64012562,172.29.231.242,10.227.37.14,2,yahoo.com,593,155,1,0,31555,4,Bengaluru,Chennai,55.54,False,1,35e432fb3a2f55c1,0.034,52,0.113,True,0.102,False,-1,23,CLUSTER_0000,1,LEGITIMATE,0
